continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population
Asia,Afghanistan,2020-06-01,15205.0,680.0,257.0,8.0,38928341.0
Asia,Afghanistan,2020-06-02,15750.0,545.0,265.0,8.0,38928341.0
Asia,Afghanistan,2020-06-03,16509.0,759.0,270.0,5.0,38928341.0
Asia,Afghanistan,2020-06-04,17267.0,758.0,294.0,24.0,38928341.0
Asia,Afghanistan,2020-06-05,18054.0,787.0,300.0,6.0,38928341.0
Asia,Afghanistan,2020-06-06,18969.0,915.0,309.0,9.0,38928341.0
Asia,Afghanistan,2020-06-07,19551.0,582.0,327.0,18.0,38928341.0
Asia,Afghanistan,2020-06-08,20342.0,791.0,357.0,30.0,38928341.0
Asia,Afghanistan,2020-06-09,20917.0,575.0,369.0,12.0,38928341.0
Asia,Afghanistan,2020-06-10,21459.0,542.0,384.0,15.0,38928341.0
Asia,Afghanistan,2020-06-11,22143.0,684.0,405.0,21.0,38928341.0
Asia,Afghanistan,2020-06-12,22890.0,747.0,426.0,21.0,38928341.0
Asia,Afghanistan,2020-06-13,23546.0,656.0,446.0,20.0,38928341.0
Asia,Afghanistan,2020-06-14,24102.0,556.0,451.0,5.0,38928341.0
Asia,Afghanistan,2020-06-15,24766.0,664.0,471.0,20.0,38928341.0
Asia,Afghanistan,2020-06-16,25527.0,761.0,478.0,7.0,38928341.0
Asia,Afghanistan,2020-06-17,26310.0,783.0,491.0,13.0,38928341.0
Asia,Afghanistan,2020-06-18,26874.0,564.0,504.0,13.0,38928341.0
Asia,Afghanistan,2020-06-19,27532.0,658.0,546.0,42.0,38928341.0
Asia,Afghanistan,2020-06-20,27878.0,346.0,548.0,2.0,38928341.0
Asia,Afghanistan,2020-06-21,28424.0,546.0,569.0,21.0,38928341.0
Asia,Afghanistan,2020-06-22,28833.0,409.0,581.0,12.0,38928341.0
Asia,Afghanistan,2020-06-23,29143.0,310.0,598.0,17.0,38928341.0
Asia,Afghanistan,2020-06-24,29481.0,338.0,618.0,20.0,38928341.0
Asia,Afghanistan,2020-06-25,29715.0,234.0,639.0,21.0,38928341.0
Asia,Afghanistan,2020-06-26,30175.0,460.0,675.0,36.0,38928341.0
Asia,Afghanistan,2020-06-27,30451.0,276.0,683.0,8.0,38928341.0
Asia,Afghanistan,2020-06-28,30616.0,165.0,703.0,20.0,38928341.0
Asia,Afghanistan,2020-06-29,30967.0,351.0,721.0,18.0,38928341.0
Asia,Afghanistan,2020-06-30,31238.0,271.0,733.0,12.0,38928341.0
Asia,Afghanistan,2020-07-01,31517.0,279.0,746.0,13.0,38928341.0
Asia,Afghanistan,2020-07-02,31836.0,319.0,774.0,28.0,38928341.0
Asia,Afghanistan,2020-07-03,32022.0,186.0,807.0,33.0,38928341.0
Asia,Afghanistan,2020-07-04,32324.0,302.0,819.0,12.0,38928341.0
Asia,Afghanistan,2020-07-05,32672.0,348.0,826.0,7.0,38928341.0
Asia,Afghanistan,2020-07-06,32951.0,279.0,864.0,38.0,38928341.0
Asia,Afghanistan,2020-07-07,33384.0,433.0,920.0,56.0,38928341.0
Asia,Afghanistan,2020-07-08,33594.0,210.0,936.0,16.0,38928341.0
Asia,Afghanistan,2020-07-09,33653.0,59.0,937.0,1.0,38928341.0
Asia,Afghanistan,2020-07-10,33908.0,255.0,957.0,20.0,38928341.0
Asia,Afghanistan,2020-07-11,34366.0,458.0,994.0,37.0,38928341.0
Asia,Afghanistan,2020-07-12,34451.0,85.0,1010.0,16.0,38928341.0
Asia,Afghanistan,2020-07-13,34451.0,0.0,1010.0,0.0,38928341.0
Asia,Afghanistan,2020-07-14,34455.0,4.0,1012.0,2.0,38928341.0
Asia,Afghanistan,2020-07-15,34740.0,285.0,1045.0,33.0,38928341.0
Asia,Afghanistan,2020-07-16,34994.0,254.0,1094.0,49.0,38928341.0
Asia,Afghanistan,2020-07-17,35070.0,76.0,1115.0,21.0,38928341.0
Asia,Afghanistan,2020-07-18,35289.0,219.0,1147.0,32.0,38928341.0
Asia,Afghanistan,2020-07-19,35301.0,12.0,1164.0,17.0,38928341.0
Asia,Afghanistan,2020-07-20,35475.0,174.0,1181.0,17.0,38928341.0
Asia,Afghanistan,2020-07-21,35615.0,140.0,1186.0,5.0,38928341.0
Asia,Afghanistan,2020-07-22,35727.0,112.0,1190.0,4.0,38928341.0
Asia,Afghanistan,2020-07-23,35915.0,188.0,1211.0,21.0,38928341.0
Asia,Afghanistan,2020-07-24,35928.0,13.0,1211.0,0.0,38928341.0
Asia,Afghanistan,2020-07-25,36036.0,108.0,1246.0,35.0,38928341.0
Asia,Afghanistan,2020-07-26,36157.0,121.0,1259.0,13.0,38928341.0
